All Day Event,FALSE
event_end,18:50
endday,4/26/13
private,PUBLIC
endtimeampm,6 PM
Location,Auburn
duration,2 hours and 50 minutes
description,Need a quiet corner to draw and sketch and get your creative juices flowing to start off the convention?  Relax and put those visions to paper any time during this open session.
index,10
speakers,Open
Track,BoF
startday,4/26/13
Title,Open Sketch and Draw
Start Time,16:00
event_start,16:00
starttimeampm,4 PM
End Time,18:50
tracknosp,BoF
input,"['4/26/13', '16:00', '4/26/13', '18:50', 'Auburn', 'BoF', 'Open Sketch and Draw', 'Open', 'Need a quiet corner to draw and sketch and get your creative juices flowing to start off the convention?  Relax and put those visions to paper any time during this open session.', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,Open
speakerlist,['Open']
hours,2
totalminutes,170
caldescrip,Need a quiet corner to draw and sketch and get your creative juices flowing to start off the convention?  Relax and put those visions to paper any time during this open session.
endtime,18:50
name,Open Sketch and Draw
Private,PUBLIC
venue,Auburn
Book Description,Need a quiet corner to draw and sketch and get your creative juices flowing to start off the convention? Relax and put those visions to paper any time during this open session.
Presenters,Open
starttime,16:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Costuming
All Day Event,FALSE
event_end,17:50
endday,4/26/13
private,PUBLIC
endtimeampm,5 PM
Location,Boardroom
duration,50 minutes
description,Participants will be able to construct a custom set of wearable fairy wings that unfurl at the pull of a cord. Please sign up at Ops in advance to reserve your set; supplies are limited. Observers are welcome for discussion and directions.
index,12
speakers,"Robert Richey, Loren Ver"
Track,Costuming
startday,4/26/13
Title,Fairy Wings
Start Time,17:00
event_start,17:00
starttimeampm,5 PM
End Time,17:50
tracknosp,Costuming
input,"['4/26/13', '17:00', '4/26/13', '17:50', 'Boardroom', 'Costuming', 'Fairy Wings', 'Robert Richey, Loren Ver', 'Participants will be able to construct a custom set of wearable fairy wings that unfurl at the pull of a cord. Please sign up at Ops in advance to reserve your set; supplies are limited. Observers are welcome for discussion and directions.', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,"Robert Richey, Loren Ver"
speakerlist,"['Robert Richey', 'Loren Ver']"
hours,0
totalminutes,50
caldescrip,Participants will be able to construct a custom set of wearable fairy wings that unfurl at the pull of a cord. Please sign up at Ops in advance to reserve your set; supplies are limited. Observers are welcome for discussion and directions.
endtime,17:50
name,Fairy Wings
Private,PUBLIC
venue,Boardroom
Book Description,Participants will be able to construct a custom set of wearable fairy wings that unfurl at the pull of a cord. Please sign up at Ops in advance to reserve your set; supplies are limited. Observers are welcome for discussion and directions.
Presenters,"Robert Richey, Loren Ver"
starttime,17:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Food
All Day Event,FALSE
event_end,17:50
endday,4/26/13
private,PUBLIC
endtimeampm,5 PM
Location,Food
duration,50 minutes
description,"Explore the tastes of homemade mead as we learn mead lingo, terms, interesting facts and more."
index,13
speakers,"Caitlynn Poirier, Heather Gutterman"
Track,Food
startday,4/26/13
Title,Mead Making
Start Time,17:00
event_start,17:00
starttimeampm,5 PM
End Time,17:50
tracknosp,Food
input,"['4/26/13', '17:00', '4/26/13', '17:50', 'Food', 'Food', 'Mead Making', 'Caitlynn Poirier, Heather Gutterman', 'Explore the tastes of homemade mead as we learn mead lingo, terms, interesting facts and more.', 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,"Caitlynn Poirier, Heather Gutterman"
speakerlist,"['Caitlynn Poirier', 'Heather Gutterman']"
hours,0
totalminutes,50
caldescrip,"Explore the tastes of homemade mead as we learn mead lingo, terms, interesting facts and more."
endtime,17:50
name,Mead Making
Private,PUBLIC
venue,Food
Book Description,"Explore the tastes of homemade mead as we learn mead lingo, terms, interesting facts and more."
Presenters,"Caitlynn Poirier, Heather Gutterman"
starttime,17:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Gaming
All Day Event,FALSE
event_end,17:50
endday,4/26/13
private,PUBLIC
endtimeampm,5 PM
Location,Private Dining
duration,50 minutes
description,Ever sit down to the gaming table and feel like everyone's on a different page? This panel will discuss some common player archetypes (starting with the ones identified by Robin Laws) and talk about how to make sure each of them is enjoying your game. We'll also explore some tricks and techniques that can be used to manage problematic combinations in the same game.
index,14
speakers,"James Folkerth, Bryan Marino"
Track,Gaming
startday,4/26/13
Title,Player Types and Fun Injection
Start Time,17:00
event_start,17:00
starttimeampm,5 PM
End Time,17:50
tracknosp,Gaming
input,"['4/26/13', '17:00', '4/26/13', '17:50', 'Private Dining', 'Gaming', 'Player Types and Fun Injection', 'James Folkerth, Bryan Marino', ""Ever sit down to the gaming table and feel like everyone's on a different page? This panel will discuss some common player archetypes (starting with the ones identified by Robin Laws) and talk about how to make sure each of them is enjoying your game. We'll also explore some tricks and techniques that can be used to manage problematic combinations in the same game."", 'FALSE', 'PUBLIC']"
End Date,4/26/13
calspeakers,"James Folkerth, Bryan Marino"
speakerlist,"['James Folkerth', 'Bryan Marino']"
hours,0
totalminutes,50
caldescrip,Ever sit down to the gaming table and feel like everyone's on a different page? This panel will discuss some common player archetypes (starting with the ones identified by Robin Laws) and talk about how to make sure each of them is enjoying your game. We'll also explore some tricks and techniques that can be used to manage problematic combinations in the same game.
endtime,17:50
name,Player Types and Fun Injection
Private,PUBLIC
venue,Private Dining
Book Description,Ever sit down to the gaming table and feel like everyone's on a different page? This panel will discuss some common player archetypes (starting with the ones identified by Robin Laws) and talk about how to make sure each of them is enjoying your game. We'll also explore some tricks and techniques that can be used to manage problematic combinations in the same game.
Presenters,"James Folkerth, Bryan Marino"
starttime,17:00
Start Date,4/26/13
minutes,50
allday,FALSE
event_type,Hackerspace
All Day Event,FALSE
event_end,17:50
endday,4/26/13
private,PUBLIC
endtimeampm,5 PM
Location,Hackerspace A
duration,50 minutes
description,"Come learn how to make DIY crossbows from everyday materials. First come, first served, only room for 20 in each class. "
index,15
speakers,Dana Nelson
Track,Hackerspace
startday,4/26/13
Title,Cardboard Crossbows I
Start Time,17:00
event_start,17:00
starttimeampm,5 PM
End Time,17:50
tracknosp,Hackerspace
input,"['4/26/13', '17:00', '4/26/13', '17:50', 'Hackerspace A', 'Hackerspace', 'Cardboard Crossbows I', 'Dana Nelson', 'Come learn how to make DIY crossbows from everyday materials. First come, first served, only room for 20 in each class. ', 'FALSE', 'PUBLIC']"
End Date,4/26/13
